眼型,眼尾,眼距,虹膜
长杏眼,眼尾延展,标准眼距,淡金瞳
短杏眼,眼尾微挑,标准眼距,淡金瞳
窄杏眼,眼尾下沉,宽眼距,异色瞳
宽杏眼,眼尾下压,窄眼距,墨玉瞳
丹凤眼,眼尾微挑,宽眼距,环状虹膜
平凤眼,眼尾平直,标准眼距,碎裂虹膜
瑞凤眼,眼尾下沉,宽眼距,星点虹膜
桃花眼,眼尾微挑,窄眼距,星点虹膜
柳叶眼,眼尾下沉,标准眼距,琥珀瞳
狐狸系眼,眼尾平直,标准眼距,异色瞳
猫系眼,眼尾平直,标准眼距,星点虹膜
狭长眼,眼尾下沉,标准眼距,碎裂虹膜
圆长眼,眼尾明显挑,标准眼距,琥珀瞳
下垂眼,眼尾下沉,标准眼距,琥珀瞳
冷感眼,眼尾平直,窄眼距,灰蓝瞳
疲惫眼,眼尾微挑,窄眼距,环状虹膜
少年圆眼,眼尾明显挑,宽眼距,碎裂虹膜
成熟长眼,眼尾明显挑,标准眼距,琥珀瞳
鹰隼眼,眼尾延展,宽眼距,深色瞳
狼系眼,眼尾下压,宽眼距,深色瞳
蛇系眼,眼尾下沉,标准眼距,环状虹膜
鹿系眼,眼尾明显挑,宽眼距,墨玉瞳
鹤系眼,眼尾平直,标准眼距,墨玉瞳
短圆杏眼,眼尾微挑,宽眼距,墨玉瞳
狭长瑞凤眼,眼尾微挑,窄眼距,环状虹膜
上扬凤眼,眼尾下沉,标准眼距,环状虹膜
平直杏眼,眼尾下沉,宽眼距,碎裂虹膜
半睁懒眼,眼尾微挑,窄眼距,灰蓝瞳
